X,Y,OBJECTID,Date,SUM_number_of_confirmed_covid_1,SUM_no_new_admissions_covid19_p,SUM_no_discharges_covid19_posit
-6.292,53.3605,217,2020/10/09 11:00:00+00,179,14,17
-6.292,53.3605,218,2020/10/10 11:00:00+00,194,18,22
-6.292,53.3605,219,2020/10/11 11:00:00+00,201,19,9
-6.292,53.3605,220,2020/10/12 11:00:00+00,221,24,4
-6.292,53.3605,221,2020/10/13 11:00:00+00,240,19,18
-6.292,53.3605,222,2020/10/14 11:00:00+00,234,13,20
-6.292,53.3605,223,2020/10/15 11:00:00+00,238,30,13
-6.292,53.3605,224,2020/10/16 11:00:00+00,244,25,24
-6.292,53.3605,225,2020/10/17 11:00:00+00,260,19,18
-6.292,53.3605,226,2020/10/18 11:00:00+00,274,20,11
-6.292,53.3605,227,2020/10/19 11:00:00+00,298,25,8
-6.292,53.3605,228,2020/10/20 11:00:00+00,315,42,27
-6.292,53.3605,229,2020/10/21 11:00:00+00,324,32,27
-6.292,53.3605,230,2020/10/22 11:00:00+00,310,24,32
-6.292,53.3605,231,2020/10/23 11:00:00+00,311,32,30
-6.292,53.3605,232,2020/10/24 11:00:00+00,312,31,36
-6.292,53.3605,233,2020/10/25 11:00:00+00,319,32,20
-6.292,53.3605,234,2020/10/26 11:00:00+00,344,27,9
-6.292,53.3605,235,2020/10/27 11:00:00+00,354,18,10
-6.292,53.3605,236,2020/10/28 11:00:00+00,327,20,42
-6.292,53.3605,237,2020/10/29 11:00:00+00,330,30,36
-6.292,53.3605,238,2020/10/30 11:00:00+00,327,26,29
-6.292,53.3605,239,2020/10/31 11:00:00+00,322,33,26
-6.292,53.3605,240,2020/11/01 11:00:00+00,325,17,11
-6.292,53.3605,241,2020/11/02 11:00:00+00,327,7,10
-6.292,53.3605,242,2020/11/03 11:00:00+00,306,19,29
-6.292,53.3605,243,2020/11/04 11:00:00+00,315,35,21
-6.292,53.3605,244,2020/11/05 11:00:00+00,307,18,33
-6.292,53.3605,245,2020/11/06 11:00:00+00,295,17,29
-6.292,53.3605,246,2020/11/07 11:00:00+00,279,20,29
-6.292,53.3605,247,2020/11/08 11:00:00+00,283,10,18
-6.292,53.3605,248,2020/11/09 11:00:00+00,291,15,14
-6.292,53.3605,249,2020/11/10 11:00:00+00,279,18,33
-6.292,53.3605,250,2020/11/11 11:00:00+00,282,19,34
-6.292,53.3605,251,2020/11/12 11:00:00+00,285,12,25
-6.292,53.3605,252,2020/11/13 11:00:00+00,275,10,23
-6.292,53.3605,253,2020/11/14 11:00:00+00,254,12,17
-6.292,53.3605,254,2020/11/15 11:00:00+00,254,6,4
-6.292,53.3605,255,2020/11/16 11:00:00+00,276,16,4
-6.292,53.3605,256,2020/11/17 11:00:00+00,273,10,16
-6.292,53.3605,257,2020/11/18 11:00:00+00,274,15,16
-6.292,53.3605,258,2020/11/19 11:00:00+00,290,18,25
-6.292,53.3605,259,2020/11/20 11:00:00+00,287,8,14
-6.292,53.3605,260,2020/11/21 11:00:00+00,275,11,14
-6.292,53.3605,261,2020/11/22 11:00:00+00,277,10,2
-6.292,53.3605,262,2020/11/23 11:00:00+00,291,14,1
-6.292,53.3605,263,2020/11/24 11:00:00+00,291,13,16
-6.292,53.3605,264,2020/11/25 11:00:00+00,269,8,13
-6.292,53.3605,265,2020/11/26 11:00:00+00,247,12,19
-6.292,53.3605,266,2020/11/27 11:00:00+00,253,22,15
-6.292,53.3605,267,2020/11/28 11:00:00+00,243,13,19
-6.292,53.3605,268,2020/11/29 11:00:00+00,257,15,7
-6.292,53.3605,269,2020/11/30 11:00:00+00,259,4,4
-6.292,53.3605,270,2020/12/01 11:00:00+00,224,7,22
-6.292,53.3605,271,2020/12/02 11:00:00+00,228,16,15
-6.292,53.3605,272,2020/12/03 11:00:00+00,234,14,10
-6.292,53.3605,273,2020/12/04 11:00:00+00,239,11,20
-6.292,53.3605,274,2020/12/05 11:00:00+00,230,7,20
-6.292,53.3605,275,2020/12/06 11:00:00+00,233,10,3
-6.292,53.3605,276,2020/12/07 11:00:00+00,232,14,1
-6.292,53.3605,277,2020/12/08 11:00:00+00,215,11,13
-6.292,53.3605,278,2020/12/09 11:00:00+00,215,11,13
-6.292,53.3605,279,2020/12/10 11:00:00+00,203,13,14
-6.292,53.3605,280,2020/12/11 11:00:00+00,204,13,22
-6.292,53.3605,281,2020/12/12 11:00:00+00,190,12,12
-6.292,53.3605,282,2020/12/13 11:00:00+00,192,10,4
-6.292,53.3605,283,2020/12/14 11:00:00+00,197,12,4
-6.292,53.3605,284,2020/12/15 11:00:00+00,198,14,24
-6.292,53.3605,285,2020/12/16 11:00:00+00,198,9,16
-6.292,53.3605,286,2020/12/17 11:00:00+00,211,10,14
